CUS_CUST_ID,semana,processo,cdu,solucao,qtd
154804479,Pre_01-16Mar,Reputación,Reclamos,Analizamos reputación - Reclamo afecta la reputación y excluimos,1
154804479,Pre_01-16Mar,Reputación ME,HT - Ventas,Reputación ME Ventas: Logística Places - Excluimos,1
154804479,Pre_01-16Mar,PR - Propiedad intelectual,Bugs,General Bugs - Pedido de datos por posible error (OFFLINE),1
154804479,Pre_01-16Mar,Reputación ME,Bugs,General Bugs - Pedido de datos por posible error (OFFLINE),1
154804479,Pre_01-16Mar,Gestión de Publicación,Modificar,Modificar - Estado de la publicación y cómo cambiarlo,1
154804479,Pre_01-16Mar,PR - Artículos prohibidos,Rollback,Artículo Prohibido - Rollback (reactivamos publicación),1
154804479,S1_17-23Mar,Reputación ME,HT - Ventas,Reputación ME Ventas: Vendedor newbie - Excluimos,9
154804479,S1_17-23Mar,Reputación ME,HT - Ventas,Reputación ME Ventas: Envío no afecta al HT,3
154804479,S1_17-23Mar,Reputación ME,Generales,Pedido de datos - Solicitamos datos para gestión,2
154804479,S1_17-23Mar,PR - Artículos prohibidos,Rollback,Artículo Prohibido - Rollback (reactivamos publicación),2
154804479,S1_17-23Mar,Reputación,Reclamos,Analizamos reputación - Reclamo afecta la reputación y excluimos,2
154804479,S1_17-23Mar,Despacho Ventas y Publicaciones,Tiene problemas con la etiqueta de su envío,Etiqueta no vencida: regeneramos,1
154804479,S1_17-23Mar,Reputación ME,HT - Ventas,Reputación ME Ventas: Logística Places - Excluimos,1
154804479,S2_24-30Mar,Reputación ME,HT - Ventas,Reputación ME Ventas: Vendedor newbie - Excluimos,2
154804479,S2_24-30Mar,Reputación ME,Generales,Pedido de datos - Solicitamos datos para gestión,2
154804479,S2_24-30Mar,Anulación de Venta,Bugs,General Bugs - Pedido de datos por posible error (OFFLINE),1
154804479,S2_24-30Mar,PR - Propiedad intelectual,Bugs,General Bugs - Pedido de datos por posible error (OFFLINE),1
154804479,S2_24-30Mar,Despacho Ventas y Publicaciones,Tiene problemas con la etiqueta de su envío,Etiqueta no vencida: regeneramos,1
154804479,S3_31Mar-06Abr,Despacho Ventas y Publicaciones,Generales,Pedido de datos - Solicitamos datos para gestión,12
154804479,S3_31Mar-06Abr,Gestión de Publicación,Bugs,General Bugs - Pedido de datos por posible error (OFFLINE),8
154804479,S3_31Mar-06Abr,Reputación ME,HT - Ventas,Reputación ME Ventas: Vendedor newbie - Excluimos,8
154804479,S3_31Mar-06Abr,Despacho Ventas y Publicaciones,Bugs,General Bugs - Consultamos por posible inestabilidad,6
154804479,S3_31Mar-06Abr,Reputación,Generales,Pedido de datos - Solicitamos datos para gestión,5
154804479,S3_31Mar-06Abr,Reputación ME,Bugs,General Bugs - Pedido de datos por posible error (OFFLINE),5
154804479,S3_31Mar-06Abr,Despacho Ventas y Publicaciones,Tiene problemas con la etiqueta de su envío,Etiqueta no disponible: pago en plazo de acreditación,3
